ISIN	NCB	ISSUER	Maturity Date	Coupon Rate	Legal Entity ID			
FR0013241346	FR	Air Liquide Finance	8/03/2027	1	549300YGXL5Z3R14K812			
FR0010948257	FR	Air Liquide-SA Ét.Expl.P.G.Cl.	12/10/2018	2,908	969500MMPQVHK671GT54			
FR0011439835	FR	Air Liquide-SA Ét.Expl.P.G.Cl.	6/09/2023	2,375	969500MMPQVHK671GT54			
XS1050846507	BE	Airbus Group Finance B.V.	2/04/2024	2,375	529900M7QSB704RUUT95			
XS1128224703	BE	Airbus Group Finance B.V.	29/10/2029	2,125	529900M7QSB704RUUT95			
XS1410582313	BE	Airbus Group Finance B.V.	13/05/2031	1,375	529900M7QSB704RUUT95			
XS1410582586	BE	Airbus Group Finance B.V.	13/05/2026	0,875	529900M7QSB704RUUT95			
XS0719962986	BE	Akzo Nobel N.V.	17/12/2018	4	724500XYIJUGXAA5QD70			
XS1134519120	BE	Akzo Nobel N.V.	7/11/2024	1,75	724500XYIJUGXAA5QD70			
XS1391625289	BE	Akzo Nobel N.V.	8/04/2026	1,125	724500XYIJUGXAA5QD70			
XS0792977984	BE	Alliander N.V.	14/06/2024	2,875	724500XBZ9QOPTI11U82			
XS0854759080	BE	Alliander N.V.	14/11/2022	2,25	724500XBZ9QOPTI11U82			
XS1400167133	BE	Alliander N.V.	22/04/2026	0,875	724500XBZ9QOPTI11U82			
DE000A1AKHB8	DE	Allianz Finance II B.V.	22/07/2019	4,75	529900C9NVPTCPDI1D65			
DE000A1G0RU9	DE	Allianz Finance II B.V.	14/02/2022	3,5	529900C9NVPTCPDI1D65			
DE000A1HG1J8	DE	Allianz Finance II B.V.	13/03/2018	1,375	529900C9NVPTCPDI1D65			
DE000A180B72	DE	Allianz Finance II B.V.	21/04/2020	0	529900C9NVPTCPDI1D65			
XS1323052180	DE	alstria office REIT-AG	24/03/2021	2,25	529900QIJIGPI0DRL085			
XS1346695437	DE	alstria office REIT-AG	12/04/2023	2,125	529900QIJIGPI0DRL085			
XS1322048619	ES	Amadeus Capital Markets S.A.U.	17/11/2021	1,625	9598005RQYUKA5W3GH05			
XS1501162876	ES	Amadeus Capital Markets S.A.U.	6/10/2020	0,125	9598005RQYUKA5W3GH05			
XS1616407869	ES	Amadeus Capital Markets S.A.U.	19/05/2019	0	9598005RQYUKA5W3GH05			
BE6276038419	BE	ANHEUSER-BUSCH INBEV	19/10/2018	0	5493008H3828EMEXB082			
BE6285450449	BE	ANHEUSER-BUSCH INBEV	17/03/2020	0,35	5493008H3828EMEXB082			
BE6221503202	BE	Anheuser-Busch InBev N.V./S.A.	2/06/2021	4	5493008H3828EMEXB082			
BE6243179650	BE	Anheuser-Busch InBev N.V./S.A.	25/09/2024	2,875	5493008H3828EMEXB082			
BE6243180666	BE	Anheuser-Busch InBev N.V./S.A.	16/12/2019	2	5493008H3828EMEXB082			
BE6258027729	BE	Anheuser-Busch InBev N.V./S.A.	24/09/2020	2,25	5493008H3828EMEXB082			
BE6265140077	BE	Anheuser-Busch InBev N.V./S.A.	29/03/2018	0,051	5493008H3828EMEXB082			
BE6265141083	BE	Anheuser-Busch InBev N.V./S.A.	30/09/2021	1,95	5493008H3828EMEXB082			
BE6265142099	BE	Anheuser-Busch InBev N.V./S.A.	31/03/2026	2,7	5493008H3828EMEXB082			
BE6291424040	BE	Anheuser-Busch InBev S.A./N.V.	20/01/2020	1,875	5493008H3828EMEXB082			
BE6242927075	BE	Apetra N.V.	17/12/2020	2,125	5493008USAJHKDAW2889			
BE6257983286	BE	Apetra N.V.	25/09/2023	3,125	5493008USAJHKDAW2889			
XS0972530561	BE	ASML Holding N.V.	19/09/2023	3,375	724500Y6DUVHQD6OXN27			
XS1405774990	BE	ASML Holding N.V.	7/07/2022	0,625	724500Y6DUVHQD6OXN27			
XS1405780963	BE	ASML Holding N.V.	7/07/2026	1,375	724500Y6DUVHQD6OXN27			
XS1527556192	BE	ASML Holding N.V.	28/05/2027	1,625	724500Y6DUVHQD6OXN27			
XS0452314536	IT	Assicurazioni Generali S.p.A.	16/09/2024	5,125	549300X5UKJVE386ZB61			
XS1014759648	IT	Assicurazioni Generali S.p.A.	14/01/2020	2,875	549300X5UKJVE386ZB61			
XS1449707055	BE	ATF Netherlands B.V.	15/07/2024	1,5	529900H4DWG3KWMBMQ39			
XS1558491855	IT	Atlantia S.p.A.	3/02/2025	1,625	8156008DEC771409C487			
FR0010491720	FR	Autoroutes du Sud de la France	4/07/2022	5,625	213800U12KWYZEECZ934			
FR0010737882	FR	Autoroutes du Sud de la France	20/03/2019	7,375	213800U12KWYZEECZ934			
FR0010883058	FR	Autoroutes du Sud de la France	13/04/2020	4,125	213800U12KWYZEECZ934			
FR0011119775	FR	Autoroutes du Sud de la France	24/09/2018	4	213800U12KWYZEECZ934			
FR0011394907	FR	Autoroutes du Sud de la France	18/01/2023	2,875	213800U12KWYZEECZ934			
FR0011694033	FR	Autoroutes du Sud de la France	17/01/2024	2,95	213800U12KWYZEECZ934			
FR0013169885	FR	Autoroutes du Sud de la France	13/05/2026	1	213800U12KWYZEECZ934			
FR0013231099	FR	Autoroutes du Sud de la France	18/01/2027	1,25	213800U12KWYZEECZ934			
FR0013251170	FR	Autoroutes du Sud de la France	20/04/2026	1,125	213800U12KWYZEECZ934			
XS1205716720	IT	Autostr. Bres.Ver.Vic.Pad. SpA	20/03/2020	2,375	8156003E34AD14118797			
XS0193945655	IT	Autostrade per L'Italia S.p.A.	9/06/2024	5,875	815600149448CEB9B230			
XS0542534192	IT	Autostrade per L'Italia S.p.A.	16/09/2025	4,375	815600149448CEB9B230			
XS0744125302	IT	Autostrade per L'Italia S.p.A.	8/02/2019	4,5	815600149448CEB9B230			
XS0828749761	IT	Autostrade per L'Italia S.p.A.	16/03/2020	4,375	815600149448CEB9B230			
XS0986174851	IT	Autostrade per L'Italia S.p.A.	26/02/2021	2,875	815600149448CEB9B230			
XS1316567343	IT	Autostrade per L'Italia S.p.A.	4/11/2021	1,125	815600149448CEB9B230			
XS1316569638	IT	Autostrade per L'Italia S.p.A.	4/11/2025	1,875	815600149448CEB9B230			
XS1327504087	IT	Autostrade per L'Italia S.p.A.	26/06/2026	1,75	815600149448CEB9B230			
XS1528093799	IT	Autostrade per L'Italia S.p.A.	1/02/2027	1,75	815600149448CEB9B230			
DE000A188WV3	DE	BASF Finance Europe N.V.	10/11/2020	0	724500670HAI5ERPDA03			
DE000A188WW1	DE	BASF Finance Europe N.V.	10/11/2026	0,75	724500670HAI5ERPDA03			
XS1023268490	DE	Bayer AG	24/01/2018	1,125	549300J4U55H3WP1XT59			
XS1023268573	DE	Bayer AG	25/01/2021	1,875	549300J4U55H3WP1XT59			
XS1135309794	DE	Bayer Capital Corp. B.V.	13/11/2023	1,25	529900KEOKKPYZLTAU90			
XS0811690550	DE	Bertelsmann SE & Co. KGaA	2/08/2022	2,625	5299001BUUGXAREGE533			
XS1121177767	DE	Bertelsmann SE & Co. KGaA	14/10/2024	1,75	5299001BUUGXAREGE533			
XS1400165350	DE	Bertelsmann SE & Co. KGaA	27/04/2026	1,125	5299001BUUGXAREGE533			
XS1619283218	DE	Bertelsmann SE & Co. KGaA	26/05/2021	0,25	5299001BUUGXAREGE533			
XS0173501379	DE	BMW Finance N.V.	6/08/2018	5	5299006ZHG3IXU0PNJ56			
XS0653885961	DE	BMW Finance N.V.	29/01/2018	3,625	5299006ZHG3IXU0PNJ56			
XS0729046218	DE	BMW Finance N.V.	14/01/2019	3,25	5299006ZHG3IXU0PNJ56			
XS0860596575	DE	BMW Finance N.V.	5/06/2018	1,5	5299006ZHG3IXU0PNJ56			
XS0877622034	DE	BMW Finance N.V.	24/01/2023	2,375	5299006ZHG3IXU0PNJ56			
XS0968316256	DE	BMW Finance N.V.	4/09/2020	2	5299006ZHG3IXU0PNJ56			
XS1015212811	DE	BMW Finance N.V.	17/07/2019	1,625	5299006ZHG3IXU0PNJ56			
XS1015217703	DE	BMW Finance N.V.	17/01/2024	2,625	5299006ZHG3IXU0PNJ56			
XS1105264821	DE	BMW Finance N.V.	5/09/2018	0,5	5299006ZHG3IXU0PNJ56			
XS1105276759	DE	BMW Finance N.V.	5/09/2022	1,25	5299006ZHG3IXU0PNJ56			
XS1168962063	DE	BMW Finance N.V.	21/01/2025	1	5299006ZHG3IXU0PNJ56			
XS1168971213	DE	BMW Finance N.V.	21/01/2020	0,5	5299006ZHG3IXU0PNJ56			
XS1321956333	DE	BMW Finance N.V.	17/11/2020	0,875	5299006ZHG3IXU0PNJ56			
XS1363560977	DE	BMW Finance N.V.	15/02/2022	1	5299006ZHG3IXU0PNJ56			
XS1396260520	DE	BMW Finance N.V.	15/04/2020	0,125	5299006ZHG3IXU0PNJ56			
XS1396261338	DE	BMW Finance N.V.	15/04/2024	0,75	5299006ZHG3IXU0PNJ56			
XS1548436473	DE	BMW Finance N.V.	12/07/2024	0,75	5299006ZHG3IXU0PNJ56			
XS1548436556	DE	BMW Finance N.V.	12/01/2021	0,125	5299006ZHG3IXU0PNJ56			
XS1589881272	DE	BMW Finance N.V.	3/07/2020	0,125	5299006ZHG3IXU0PNJ56			
XS1589881785	DE	BMW Finance N.V.	3/04/2025	0,875	5299006ZHG3IXU0PNJ56			
FR0013222494	FR	Bouygues S.A.	7/06/2027	1,375	969500MOCLNQFNZN0D63			
FR0010212852	FR	Bouygues S.A.	22/07/2020	4,25	969500MOCLNQFNZN0D63			
FR0010853226	FR	Bouygues S.A.	12/02/2018	4	969500MOCLNQFNZN0D63			
FR0010957662	FR	Bouygues S.A.	29/10/2019	3,641	969500MOCLNQFNZN0D63			
FR0011193515	FR	Bouygues S.A.	9/02/2022	4,5	969500MOCLNQFNZN0D63			
FR0011332196	FR	Bouygues S.A.	16/01/2023	3,625	969500MOCLNQFNZN0D63			
PTBSSBOE0012	BE	BRISA-Concessao Rodoviaria, SA	1/04/2021	3,875	529900O4HQ501ZCXL896			
PTBSSGOE0009	BE	BRISA-Concessao Rodoviaria, SA	2/04/2018	6,875	529900O4HQ501ZCXL896			
PTBSSIOM0015	BE	BRISA-Concessao Rodoviaria, SA	30/04/2025	1,875	529900O4HQ501ZCXL896			
PTBSSJOM0014	BE	BRISA-Concessao Rodoviaria, SA	22/03/2023	2	529900O4HQ501ZCXL896			
PTBSSLOM0002	BE	BRISA-Concessao Rodoviaria, SA	10/05/2027	2,375	529900O4HQ501ZCXL896			
BE6254681248	BE	Brussels Airport Company SA/NV	1/07/2020	3,25	549300R9I8GUZLNIV408			
BE6295011025	BE	Brussels Airport Company SA/NV	3/05/2024	1	549300R9I8GUZLNIV408			
XS1405777316	BE	Bunge Finance Europe B.V.	16/06/2023	1,85	549300BIPDLRC1B3OO64			
XS1232143310	FI	Caterpillar Intl Finance Ltd.	13/05/2018	0	8NUHUXWN9LG4XBGJ7O17			
XS1232146412	FI	Caterpillar Intl Finance Ltd.	13/10/2020	0,75	8NUHUXWN9LG4XBGJ7O17			
XS1468525057	ES	Cellnex Telecom S.A.	16/01/2024	2,375	5493008T4YG3AQUI7P67			
XS1551726810	ES	Cellnex Telecom S.A.	18/04/2025	2,875	5493008T4YG3AQUI7P67			
XS0170386998	BE	Ciba Spc. Chem. Fin. Lxbg S.A.	20/06/2018	4,875	5493000DEC6ZFTX0CS09			
XS0946179529	FI	Citycon Oyj	24/06/2020	3,75	549300P8N0P6KDGTJ206			
XS1114434167	BE	Citycon Treasury B.V.	1/10/2024	2,5	549300WAE0CGQ0IE1H63			
XS1291367313	BE	Citycon Treasury B.V.	16/09/2022	2,375	549300WAE0CGQ0IE1H63			
XS1485608118	BE	Citycon Treasury B.V.	8/09/2026	1,25	549300WAE0CGQ0IE1H63			
XS0944362812	BE	Coca Cola HBC Finance B.V.	18/06/2020	2,375	549300BXVNOCYQ83FU09			
XS1377682676	BE	Coca Cola HBC Finance B.V.	11/11/2024	1,875	549300BXVNOCYQ83FU09			
XS1493428426	FR	Compagnie de Saint-Gobain S.A.	27/03/2020	0	NFONVGN05Z0FMN5PEC35			
XS1577586321	FR	Compagnie de Saint-Gobain S.A.	17/03/2025	1	NFONVGN05Z0FMN5PEC35			
XS1627193359	FR	Compagnie de Saint-Gobain S.A.	14/06/2027	1,375	NFONVGN05Z0FMN5PEC35			
FR0010327007	FR	Compagnie Fin. Ind. Autoroutes	24/05/2021	5	213800CP8292W9E8LJ69			
FR0013201126	FR	Compagnie Fin. Ind. Autoroutes	7/02/2025	0,375	213800CP8292W9E8LJ69			
FR0013201134	FR	Compagnie Fin. Ind. Autoroutes	9/09/2028	0,75	213800CP8292W9E8LJ69			
XS0953199634	DE	Continental AG	16/07/2018	3	529900A7YD9C0LLXM621			
XS0969344083	DE	Continental AG	9/09/2020	3,125	529900A7YD9C0LLXM621			
XS1529561182	DE	Continental AG	5/02/2020	0	529900A7YD9C0LLXM621			
XS1377745937	DE	Covestro AG	25/09/2024	1,75	3912005AWHKLQ1CPLV11			
XS1377763161	DE	Covestro AG	7/10/2021	1	3912005AWHKLQ1CPLV11			
XS1505896735	FI	CRH Finance DAC	18/10/2028	1,375	549300C4ROP5J6I59W35			
XS0375220588	FI	DAA Finance PLC	9/07/2018	6,5872	635400KLDJPEGQCL6H42			
XS1419674525	FI	DAA Finance PLC	7/06/2028	1,554	635400KLDJPEGQCL6H42			
DE000A1MLXN3	DE	Daimler AG	2/04/2019	2,625	529900R27DL06UVNT076			
DE000A1PGQY7	DE	Daimler AG	27/06/2018	2,125	529900R27DL06UVNT076			
DE000A1PGWA5	DE	Daimler AG	12/09/2022	2,375	529900R27DL06UVNT076			
DE000A1R0TN7	DE	Daimler AG	21/01/2020	1,75	529900R27DL06UVNT076			
DE000A1R04X6	DE	Daimler AG	24/01/2022	2,25	529900R27DL06UVNT076			
DE000A1R0691	DE	Daimler AG	8/03/2023	2,375	529900R27DL06UVNT076			
DE000A1TNJ97	DE	Daimler AG	25/06/2021	2	529900R27DL06UVNT076			
DE000A1TNK86	DE	Daimler AG	7/04/2020	2	529900R27DL06UVNT076			
DE000A1X3GC3	DE	Daimler AG	19/11/2018	1,5	529900R27DL06UVNT076			
DE000A2AAL23	DE	Daimler AG	9/09/2019	0,5	529900R27DL06UVNT076			
DE000A2AAL31	DE	Daimler AG	9/03/2026	1,5	529900R27DL06UVNT076			
DE000A2DADM7	DE	Daimler AG	28/02/2025	0,85	529900R27DL06UVNT076			
DE000A11QSB8	DE	Daimler AG	8/07/2024	1,875	529900R27DL06UVNT076			
DE000A169G07	DE	Daimler AG	12/01/2021	0,875	529900R27DL06UVNT076			
DE000A169G15	DE	Daimler AG	12/01/2024	1,4	529900R27DL06UVNT076			
DE000A169NA6	DE	Daimler AG	11/05/2020	0,25	529900R27DL06UVNT076			
DE000A169NB4	DE	Daimler AG	11/05/2023	0,75	529900R27DL06UVNT076			
DE000A169NC2	DE	Daimler AG	11/05/2028	1,375	529900R27DL06UVNT076			
DE000A168650	DE	Daimler AG	5/03/2020	0,625	529900R27DL06UVNT076			
DE000A19EJE0	DE	Daimler Intl Finance B.V.	15/03/2019	0	529900RUGCXMPEENHQ31			
DE000A19HBM3	DE	Daimler Intl Finance B.V.	11/05/2022	0	529900RUGCXMPEENHQ31			
FR0012432904	FR	DANONE	14/01/2020	0	969500KMUQ2B6CBAF162			
FR0013216884	FR	DANONE	3/11/2018	0	969500KMUQ2B6CBAF162			
BE0002189554	BE	Delhaize Group S.A.	27/02/2020	3,125	549300BEQWGXQBVYA835			
XS0559434351	BE	Delta Lloyd NV	17/11/2017	4,25	#N/A			
DE000A0T7J03	DE	Deutsche Bahn Finance B.V.	12/03/2019	4,875	52990002BAIDUAIIYU29			
XS0164831843	DE	Deutsche Bahn Finance B.V.	14/03/2018	4,75	52990002BAIDUAIIYU29			
XS0452868788	DE	Deutsche Bahn Finance B.V.	23/09/2021	4,375	52990002BAIDUAIIYU29			
XS0515937406	DE	Deutsche Bahn Finance B.V.	10/06/2020	3,5	52990002BAIDUAIIYU29			
XS0524471355	DE	Deutsche Bahn Finance B.V.	9/07/2025	3,75	52990002BAIDUAIIYU29			
XS0554975325	DE	Deutsche Bahn Finance B.V.	4/11/2022	3,375	52990002BAIDUAIIYU29			
XS0632241112	DE	Deutsche Bahn Finance B.V.	1/06/2021	3,75	52990002BAIDUAIIYU29			
XS0753143709	DE	Deutsche Bahn Finance B.V.	8/03/2024	3	52990002BAIDUAIIYU29			
XS0856032213	DE	Deutsche Bahn Finance B.V.	20/02/2023	2	52990002BAIDUAIIYU29			
XS0969368934	DE	Deutsche Bahn Finance B.V.	12/09/2023	2,5	52990002BAIDUAIIYU29			
XS0988384904	DE	Deutsche Bahn Finance B.V.	6/11/2020	1,75	52990002BAIDUAIIYU29			
XS1045386494	DE	Deutsche Bahn Finance B.V.	19/03/2029	2,75	52990002BAIDUAIIYU29			
XS1309518998	DE	Deutsche Bahn Finance B.V.	23/10/2025	1,25	52990002BAIDUAIIYU29			
XS1316420089	DE	Deutsche Bahn Finance B.V.	6/11/2030	1,625	52990002BAIDUAIIYU29			
XS1372911690	DE	Deutsche Bahn Finance B.V.	2/03/2026	0,75	52990002BAIDUAIIYU29			
XS1441837546	DE	Deutsche Bahn Finance B.V.	11/07/2031	0,875	52990002BAIDUAIIYU29			
XS1451539487	DE	Deutsche Bahn Finance B.V.	19/07/2021	0	52990002BAIDUAIIYU29			
XS1493724584	DE	Deutsche Bahn Finance B.V.	26/09/2028	0,625	52990002BAIDUAIIYU29			
DE000A1R1BC6	DE	Deutsche Börse AG	26/03/2018	1,125	529900G3SW56SHYNPR95			
DE000A1RE1W1	DE	Deutsche Börse AG	5/10/2022	2,375	529900G3SW56SHYNPR95			
DE000A1684V3	DE	Deutsche Börse AG	8/10/2025	1,625	529900G3SW56SHYNPR95			
XS1109110251	DE	Deutsche Lufthansa AG	12/09/2019	1,125	529900PH63HYJ86ASW55			
XS0862941506	DE	Deutsche Post AG	11/12/2020	1,875	8ER8GIG7CSMVD8VUFE78			
XS0862952297	DE	Deutsche Post AG	11/12/2024	2,875	8ER8GIG7CSMVD8VUFE78			
XS0977496636	DE	Deutsche Post AG	9/10/2023	2,75	8ER8GIG7CSMVD8VUFE78			
XS0977500767	DE	Deutsche Post AG	9/10/2018	1,5	8ER8GIG7CSMVD8VUFE78			
XS1388661651	DE	Deutsche Post AG	1/04/2021	0,375	8ER8GIG7CSMVD8VUFE78			
XS1388661735	DE	Deutsche Post AG	1/04/2026	1,25	8ER8GIG7CSMVD8VUFE78			
XS0795872901	DE	Deutsche Post Finance B.V.	27/06/2017	1,875	52990063W8KQHQMF4M43			
XS0795877454	DE	Deutsche Post Finance B.V.	27/06/2022	2,95	52990063W8KQHQMF4M43			
XS0441740817	DE	Deutsche Telekom Intl Fin.B.V.	27/07/2021	5,375	529900ERDFHS6C1M4U58			
XS0494953820	DE	Deutsche Telekom Intl Fin.B.V.	16/03/2020	4,25	529900ERDFHS6C1M4U58			
XS0503603267	DE	Deutsche Telekom Intl Fin.B.V.	22/04/2025	4,875	529900ERDFHS6C1M4U58			
XS0525787874	DE	Deutsche Telekom Intl Fin.B.V.	13/07/2022	4,25	529900ERDFHS6C1M4U58			
XS0847580353	DE	Deutsche Telekom Intl Fin.B.V.	24/10/2024	2,75	529900ERDFHS6C1M4U58			
XS0850057588	DE	Deutsche Telekom Intl Fin.B.V.	30/10/2019	2	529900ERDFHS6C1M4U58			
XS0875796541	DE	Deutsche Telekom Intl Fin.B.V.	18/01/2021	2,125	529900ERDFHS6C1M4U58			
XS0875797515	DE	Deutsche Telekom Intl Fin.B.V.	17/01/2028	3,25	529900ERDFHS6C1M4U58			
XS1382791975	DE	Deutsche Telekom Intl Fin.B.V.	3/04/2028	1,5	529900ERDFHS6C1M4U58			
XS1382792197	DE	Deutsche Telekom Intl Fin.B.V.	3/04/2023	0,625	529900ERDFHS6C1M4U58			
XS1396830058	DE	Deutsche Telekom Intl Fin.B.V.	19/04/2021	0,25	529900ERDFHS6C1M4U58			
XS1557095459	DE	Deutsche Telekom Intl Fin.B.V.	30/10/2021	0,375	529900ERDFHS6C1M4U58			
XS1557095616	DE	Deutsche Telekom Intl Fin.B.V.	30/01/2027	1,375	529900ERDFHS6C1M4U58			
XS1557096267	DE	Deutsche Telekom Intl Fin.B.V.	30/01/2024	0,875	529900ERDFHS6C1M4U58			
XS1617898363	DE	Deutsche Telekom Intl Fin.B.V.	22/05/2026	1,125	529900ERDFHS6C1M4U58			
XS1250867642	DE	Deutsche Wohnen AG	24/07/2020	1,375	529900QE24Q67I3FWZ10			
XS1088135634	ES	Distribuidora Intl de Alim.SA	22/07/2019	1,5	54930063C6K2TNFL6H10			
XS1400342587	ES	Distribuidora Intl de Alim.SA	28/04/2021	1	54930063C6K2TNFL6H10			
XS1589970968	ES	Distribuidora Intl de Alim.SA	30/06/2026	3,5	54930063C6K2TNFL6H10			
XS0322977223	DE	E.ON Intl Finance B.V.	2/10/2017	5,5	549300TG53AWJ719M814			
XS0347908096	DE	E.ON Intl Finance B.V.	21/02/2023	5,528	549300TG53AWJ719M814			
XS0361244667	DE	E.ON Intl Finance B.V.	7/05/2020	5,75	549300TG53AWJ719M814			
BE0002481563	BE	Eandis CVBA	4/12/2026	1,75	549300WSQWO0M3PK2J78			
BE6212766131	BE	Eandis CVBA	30/12/2020	4,25	549300WSQWO0M3PK2J78			
BE6228266902	BE	Eandis CVBA	8/11/2021	4,5	549300WSQWO0M3PK2J78			
XS1492685885	FI	Eaton Capital Unlimited Co.	20/09/2024	0,75	549300OLS85LSODKAF64			
FR0012599892	FR	Edenred S.A.	10/03/2025	1,375	9695006LOD5B2D7Y0N70			
FR0013247202	FR	Edenred S.A.	30/03/2027	1,875	9695006LOD5B2D7Y0N70			
XS0557897203	IT	Edison S.p.A.	10/11/2017	3,875	529900WS2E20BA5J4L49			
XS0223447227	BE	EDP Finance B.V.	29/06/2020	4,125	5299007L43AQDFOW5739			
XS0399353506	BE	EDP Finance B.V.	12/11/2023	0	5299007L43AQDFOW5739			
XS0831842645	BE	EDP Finance B.V.	21/09/2017	5,75	5299007L43AQDFOW5739			
XS0970695572	BE	EDP Finance B.V.	14/09/2020	4,875	5299007L43AQDFOW5739			
XS0995380580	BE	EDP Finance B.V.	20/01/2021	4,125	5299007L43AQDFOW5739			
XS1057345651	BE	EDP Finance B.V.	15/04/2019	2,625	5299007L43AQDFOW5739			
XS1111324700	BE	EDP Finance B.V.	18/01/2022	2,625	5299007L43AQDFOW5739			
XS1222590488	BE	EDP Finance B.V.	22/04/2025	2	5299007L43AQDFOW5739			
XS1385395121	BE	EDP Finance B.V.	23/03/2023	2,375	5299007L43AQDFOW5739			
XS1471646965	BE	EDP Finance B.V.	12/02/2024	1,125	5299007L43AQDFOW5739			
XS1558083652	BE	EDP Finance B.V.	29/09/2023	1,875	5299007L43AQDFOW5739			
XS0235372140	FI	Eesti Energia AS	18/11/2020	4,5	5493005044RTLQ5RZU70			
XS1292352843	FI	Eesti Energia AS	22/09/2023	2,384	5493005044RTLQ5RZU70			
XS0162990229	FR	Electricité de France (E.D.F.)	21/02/2033	5,625	549300X3UK4GG3FNMO06			
XS0645947457	FI	Elering A.S.	12/07/2018	4,625	894500CHL8J099IKJ580			
BE0002432079	BE	Elia System Operator S.A./N.V.	4/04/2028	3,25	549300A3EZXECDLW2V25			
BE0002433085	BE	Elia System Operator S.A./N.V.	4/04/2033	3,5	549300A3EZXECDLW2V25			
BE0119550466	BE	Elia System Operator S.A./N.V.	13/05/2019	5,25	549300S1MP1NFDIKT460			
XS0836360254	FI	Elisa Oyj	4/10/2019	2,25	743700TU2S3DXWGU7H32			
XS0973806861	FI	Elisa Oyj	22/01/2021	2,75	743700TU2S3DXWGU7H32			
XS1578886258	FI	Elisa Oyj	17/03/2024	0,875	743700TU2S3DXWGU7H32			
XS1052843908	ES	Enagás Financiaciones S.A.U.	11/04/2022	2,5	213800H2FQSU5E19V152			
